[0818/010005:ERROR:process_info.cc(330)] VirtualQueryEx: Access is denied. (0x5)
[0818/010005:ERROR:process_info.cc(547)] ReadMemoryInfo failed
[0818/010005:ERROR:process_info.cc(608)] range at 0xa249583000, size 0x354 fully unreadable
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\fwbase.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15970000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\NETAPI32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0d2f0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\DAVHLPR.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17ba0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\COMDLG32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff17e10000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\ole32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff18290000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\OLEAUT32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff10f60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\IPHLPAPI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff178a0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\WS2_32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff07e60000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\USP10.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14c30000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\MSASN1.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff15400000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\CRYPT32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff156d0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\system32\WINTRUST.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff11000000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\Secur32.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff14830000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\SSPICLI.DLL
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7ffece7c0000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\Program Files (x86)\Google\Chrome\Application\52.0.2743.116\chrome_child.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7fff0b340000 of 64 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:pe_image_reader.cc(281)] could not read dos header from C:\WINDOWS\SYSTEM32\dwrite.dll
[0818/010005:ERROR:process_reader_win.cc(233)] ReadMemory at 0x7ff6ae989170 of 12 bytes failed: Only part of a ReadProcessMemory or WriteProcessMemory request was completed. (0x12B)
[0818/010005:WARNING:process_snapshot_win.cc(104)] ReadMemory ExceptionInformation failed
[0818/010005:WARNING:crash_report_exception_handler.cc(60)] ProcessSnapshotWin::InitializeException failed
[0818/010005:ERROR:scoped_process_suspend.cc(38)] NtResumeProcess, ntstatus=-1073741558
